state;stateName;pollster;startDate;endDate;numberOfObservations;biden;trump;other
GA;Georgia;University of Georgia;10/14/2020;10/23/2020;1145;47;46;3
GA;Georgia;YouGov;10/20/2020;10/23/2020;1090;49;49;
GA;Georgia;Landmark Communications;10/21/2020;10/21/2020;500;45;49;
GA;Georgia;Morning Consult;10/11/2020;10/20/2020;1672;48;46;
GA;Georgia;Garin-Hart-Yang Research Group;10/11/2020;10/14/2020;600;51;44;
GA;Georgia;NYT/Siena College;10/13/2020;10/19/2020;749;45;45;3
GA;Georgia;Data for Progress;10/8/2020;10/11/2020;782;46;46;
GA;Georgia;Quinnipiac University;10/8/2020;10/12/2020;1040;51;44;
GA;Georgia;SurveyUSA;10/8/2020;10/12/2020;677;48;46;
GA;Georgia;Morning Consult;10/2/2020;10/11/2020;1837;47;49;
GA;Georgia;Landmark Communications;10/7/2020;10/7/2020;600;47;49;1
GA;Georgia;Public Policy Polling;10/8/2020;10/9/2020;528;47;46;
GA;Georgia;University of Georgia;9/27/2020;10/6/2020;1106;46;48;
GA;Georgia;Hart Research Associates;9/24/2020;9/27/2020;400;50;47;
GA;Georgia;Landmark Communications;9/30/2020;9/30/2020;500;47;45;3
GA;Georgia;Civiqs;9/26/2020;9/29/2020;969;50;47;
GA;Georgia;Quinnipiac University;9/23/2020;9/27/2020;1125;50;47;
GA;Georgia;YouGov;9/22/2020;9/25/2020;1164;46;47;
GA;Georgia;Data for Progress;9/14/2020;9/19/2020;800;46;46;
GA;Georgia;NYT/Siena College;9/16/2020;9/22/2020;523;45;45;2
GA;Georgia;Monmouth University;9/17/2020;9/21/2020;402;46;49;2
GA;Georgia;University of Georgia;9/11/2020;9/20/2020;1150;47;47;1
GA;Georgia;GBAO;9/14/2020;9/16/2020;600;49;46;
GA;Georgia;Redfield & Wilton Strategies;9/12/2020;9/18/2020;800;45;46;3
GA;Georgia;Fabrizio Ward/Hart Research Associates;8/30/2020;9/5/2020;1558;47;46;
GA;Georgia;Morning Consult;8/29/2020;9/7/2020;1486;46;48;
GA;Georgia;Landmark Communications;8/29/2020;8/31/2020;500;41;48;2
GA;Georgia;Morning Consult;8/21/2020;8/30/2020;700;49;46;
GA;Georgia;Morning Consult;8/7/2020;8/16/2020;700;46;47;
GA;Georgia;Public Policy Polling;8/24/2020;8/25/2020;782;47;46;
GA;Georgia;Landmark Communications;8/14/2020;8/15/2020;500;45;47;4
GA;Georgia;SurveyUSA;8/6/2020;8/8/2020;623;46;44;
GA;Georgia;YouGov;7/28/2020;7/31/2020;1109;46;45;
GA;Georgia;Monmouth University;7/23/2020;7/27/2020;402;47;48;
GA;Georgia;Morning Consult;7/17/2020;7/26/2020;1337;47;46;
GA;Georgia;Public Policy Polling;7/23/2020;7/24/2020;722;46;45;
GA;Georgia;Garin-Hart-Yang Research Group;7/9/2020;7/15/2020;800;47;43;
GA;Georgia;Public Policy Polling;6/25/2020;6/26/2020;734;49;45;
GA;Georgia;Fox News/Beacon Research/Shaw & Co. Research;6/20/2020;6/23/2020;1012;47;45;
GA;Georgia;Public Policy Polling;6/12/2020;6/13/2020;661;48;46;
GA;Georgia;TargetSmart/Dynata;5/21/2020;5/27/2020;321;40;44;
GA;Georgia;Civiqs;5/16/2020;5/18/2020;1339;48;47;3
GA;Georgia;BK Strategies;5/11/2020;5/13/2020;700;46;48;
GA;Georgia;Public Opinion Strategies;5/4/2020;5/7/2020;500;47;46;
GA;Georgia;Cygnal;4/25/2020;4/27/2020;604;44;45;
GA;Georgia;Battleground Connect;3/31/2020;4/1/2020;1035;46;48;
GA;Georgia;University of Georgia;2/24/2020;3/2/2020;1117;43;51;
GA;Georgia;Mason-Dixon Polling & Research Inc.;2/1/2020;2/1/2020;525;44;51;
GA;Georgia;SurveyUSA;2/1/2020;2/1/2020;443;47;43;
HI;Hawaii;MRG Research;10/2/2020;10/7/2020;988;61;28;
HI;Hawaii;MRG Research;7/27/2020;7/30/2020;975;56;29;
IA;Iowa;Change Research;10/29/2020;11/1/2020;1084;47;47;3
IA;Iowa;Data for Progress;10/21/2020;11/1/2020;951;47;49;4
IA;Iowa;Public Policy Polling;11/1/2020;11/2/2020;871;49;48;
IA;Iowa;Civiqs;10/29/2020;11/1/2020;853;49;48;
IA;Iowa;Selzer & Co.;10/26/2020;10/29/2020;814;41;48;
IA;Iowa;Quinnipiac University;10/23/2020;10/27/2020;1225;46;47;
IA;Iowa;RABA Research;10/21/2020;10/24/2020;693;50;46;
IA;Iowa;NYT/Siena College;10/18/2020;10/20/2020;753;46;43;3
IA;Iowa;Monmouth University;10/15/2020;10/19/2020;501;51;47;
IA;Iowa;Data for Progress;10/8/2020;10/11/2020;822;47;48;
IA;Iowa;David Binder Research;10/10/2020;10/13/2020;220;44;50;
IA;Iowa;YouGov;10/6/2020;10/9/2020;1035;49;49;
IA;Iowa;Quinnipiac University;10/1/2020;10/5/2020;1205;50;45;
IA;Iowa;Civiqs;10/3/2020;10/6/2020;756;48;47;
IA;Iowa;Hart Research Associates;9/24/2020;9/27/2020;400;47;49;
IA;Iowa;Data for Progress;9/24/2020;9/28/2020;743;44;47;2
IA;Iowa;RABA Research;9/23/2020;9/26/2020;780;48;46;
IA;Iowa;Monmouth University;9/18/2020;9/22/2020;402;46;49;2
IA;Iowa;NYT/Siena College;9/16/2020;9/22/2020;501;45;42;2
IA;Iowa;Selzer & Co.;9/14/2020;9/17/2020;658;47;47;
IA;Iowa;Fabrizio Ward/Hart Research Associates;8/30/2020;9/5/2020;1600;45;47;
IA;Iowa;RMG Research;7/27/2020;7/30/2020;500;40;41;
IA;Iowa;Data for Progress;7/24/2020;8/2/2020;1011;42;44;4
IA;Iowa;David Binder Research;7/30/2020;7/31/2020;200;49;43;
IA;Iowa;Monmouth University;7/30/2020;8/3/2020;401;47;48;
IA;Iowa;Public Policy Polling;7/23/2020;7/24/2020;1118;47;48;
IA;Iowa;GBAO;4/13/2020;4/16/2020;500;45;48;
IA;Iowa;Selzer & Co.;6/7/2020;6/10/2020;674;43;44;
IA;Iowa;Civiqs;6/6/2020;6/8/2020;865;46;46;3
IA;Iowa;Public Policy Polling;6/3/2020;6/4/2020;963;47;48;
IA;Iowa;Public Policy Polling;4/30/2020;5/1/2020;1222;46;48;
IA;Iowa;Selzer & Co.;3/2/2020;3/6/2020;667;41;51;
IL;Illinois;Victory Research;10/26/2020;11/1/2020;1208;54;38;
IL;Illinois;Research Co.;10/31/2020;11/1/2020;450;55;38;
IN;Indiana;Morning Consult;10/22/2020;10/31/2020;1147;42;53;
IN;Indiana;SurveyUSA;10/8/2020;10/13/2020;685;42;49;
IN;Indiana;Change Research;9/3/2020;9/7/2020;1033;30;53;5
IN;Indiana;Morning Consult;7/24/2020;8/2/2020;900;38;55;
IN;Indiana;Change Research;4/10/2020;4/13/2020;1021;39;52;5
KS;Kansas;Data for Progress;10/21/2020;11/1/2020;1121;41;55;4
KS;Kansas;NYT/Siena College;10/18/2020;10/20/2020;755;41;48;
KS;Kansas;Public Policy Polling;10/19/2020;10/20/2020;897;42;54;
KS;Kansas;Fort Hays State University;9/21/2020;10/1/2020;417;36;46;
KS;Kansas;Civiqs;9/26/2020;9/29/2020;677;42;52;
KS;Kansas;Data for Progress;9/14/2020;9/19/2020;883;45;49;
KS;Kansas;SurveyUSA;8/5/2020;8/9/2020;1202;41;48;
KS;Kansas;Public Policy Polling;8/5/2020;8/6/2020;864;43;50;
KS;Kansas;Civiqs;5/30/2020;6/1/2020;699;40;52;6
KS;Kansas;Public Policy Polling;3/10/2020;3/11/2020;1567;40;52;
KY;Kentucky;Mason-Dixon Polling & Strategy;10/12/2020;10/15/2020;625;39;56;
KY;Kentucky;Data for Progress;9/14/2020;9/19/2020;807;38;56;
KY;Kentucky;Quinnipiac University;9/10/2020;9/14/2020;1164;38;58;
KY;Kentucky;Quinnipiac University;7/30/2020;8/3/2020;909;41;50;
KY;Kentucky;Morning Consult;7/24/2020;8/2/2020;793;35;58;
KY;Kentucky;Garin-Hart-Yang Research Group;7/7/2020;7/12/2020;800;41;53;
KY;Kentucky;Civiqs;6/13/2020;6/15/2020;898;37;57;
KY;Kentucky;RMG Research;5/21/2020;5/24/2020;500;36;53;
KY;Kentucky;Public Policy Polling;5/14/2020;5/15/2020;1104;39;55;5
LA;Louisiana;University of New Orleans;10/22/2020;10/22/2020;755;36;59;
LA;Louisiana;The Tyson Group;9/2/2020;9/5/2020;600;42;48;
LA;Louisiana;ALG Research;8/6/2020;8/12/2020;800;43;50;
MA;Massachusetts;MassINC Polling Group;10/23/2020;10/30/2020;929;62;28;
MA;Massachusetts;YouGov;7/31/2020;8/7/2020;500;61;28;
MA;Massachusetts;MassInc Polling Group;8/6/2020;8/9/2020;501;63;27;
MA;Massachusetts;MassInc Polling Group;7/17/2020;7/20/2020;797;55;23;
MA;Massachusetts;University of Massachusetts Lowell;4/27/2020;5/1/2020;1000;58;30;7
MD;Maryland;Gonzales Research & Marketing Strategies Inc.;10/19/2020;10/24/2020;820;58;33;
MD;Maryland;Goucher College;9/30/2020;10/4/2020;776;61;30;4
MD;Maryland;Change Research;9/29/2020;10/1/2020;650;61;32;
MD;Maryland;OpinionWorks;9/4/2020;9/11/2020;753;62;30;
MD;Maryland;Gonzales Research & Media Services;5/19/2020;5/23/2020;810;59;35;
MD;Maryland;Goucher College;2/13/2020;2/19/2020;718;60;35;
ME;Maine;Change Research;10/29/2020;11/2/2020;1024;52;40;6
ME;Maine;SurveyUSA;10/23/2020;10/27/2020;1007;53;40;5
ME;Maine;Colby College;10/21/2020;10/25/2020;879;51;38;
ME;Maine;Pan Atlantic Research;10/2/2020;10/6/2020;600;50;40;
ME;Maine;Critical Insights;9/25/2020;10/4/2020;466;51;40;4
ME;Maine;Data for Progress;9/24/2020;9/28/2020;718;53;39;
ME;Maine;Colby College;9/17/2020;9/23/2020;847;50;39;
ME;Maine;Suffolk University;9/17/2020;9/20/2020;500;51;39;
ME;Maine;NYT/Siena College;9/11/2020;9/16/2020;663;55;38;
ME;Maine;Quinnipiac University;9/10/2020;9/14/2020;1183;59;38;
ME;Maine;Fabrizio Ward/Hart Research Associates;8/30/2020;9/5/2020;1886;54;40;
ME;Maine;Critical Insights;7/28/2020;8/9/2020;500;44;36;
ME;Maine;RMG Research;7/27/2020;8/2/2020;500;50;39;
ME;Maine;Quinnipiac University;7/30/2020;8/3/2020;807;52;37;
ME;Maine;Data for Progress;7/24/2020;8/2/2020;866;49;42;2
ME;Maine;Colby College;7/18/2020;7/24/2020;888;50;38;
ME;Maine;Public Policy Polling;7/23/2020;7/24/2020;962;53;42;
ME;Maine;Public Policy Polling;7/2/2020;7/3/2020;1022;53;42;
ME;Maine;Public Policy Polling;3/2/2020;3/4/2020;872;52;42;
MI;Michigan;Change Research;10/29/2020;11/1/2020;383;51;44;
MI;Michigan;Redfield & Wilton Strategies;10/26/2020;10/29/2020;1212;54;41;1
MI;Michigan;Research Co.;10/31/2020;11/1/2020;450;50;43;
MI;Michigan;Morning Consult;10/22/2020;10/31/2020;1736;52;45;
MI;Michigan;Targoz Market Research;10/25/2020;10/30/2020;993;53;39;
MI;Michigan;Mitchell Research & Communications;10/29/2020;10/29/2020;817;52;45;2
MI;Michigan;Ipsos;10/27/2020;11/1/2020;653;53;43;1
MI;Michigan;EPIC-MRA;10/25/2020;10/28/2020;600;48;41;
MI;Michigan;SSRS;10/23/2020;10/30/2020;907;53;41;3
MI;Michigan;RMG Research;10/27/2020;10/28/2020;800;51;44;
MI;Michigan;Public Policy Polling;10/28/2020;10/29/2020;749;54;44;1
MI;Michigan;Kiaer Research;10/21/2020;10/28/2020;669;54;41;
MI;Michigan;Mitchell Research & Communications;10/25/2020;10/27/2020;759;52;42;3
MI;Michigan;NYT/Siena College;10/23/2020;10/26/2020;856;49;41;
MI;Michigan;ABC News/Washington Post;10/20/2020;10/25/2020;789;51;44;2
MI;Michigan;Glengariff Group;10/23/2020;10/25/2020;600;49;42;
MI;Michigan;Ipsos;10/21/2020;10/27/2020;652;52;43;
MI;Michigan;YouGov;10/13/2020;10/21/2020;681;52;42;
MI;Michigan;Gravis Marketing;10/24/2020;10/24/2020;679;55;42;
MI;Michigan;EPIC-MRA;10/15/2020;10/19/2020;600;48;39;
MI;Michigan;Public Policy Polling;10/21/2020;10/22/2020;804;50;43;
MI;Michigan;Morning Consult;10/11/2020;10/20/2020;1717;52;44;
MI;Michigan;Data for Progress;10/15/2020;10/18/2020;830;50;45;2
MI;Michigan;Fox News/Beacon Research/Shaw & Co. Research;10/17/2020;10/20/2020;1032;52;40;
MI;Michigan;Change Research;10/16/2020;10/19/2020;400;51;44;
MI;Michigan;Ipsos;10/14/2020;10/20/2020;686;51;44;2
MI;Michigan;Mitchell Research & Communications;10/18/2020;10/18/2020;900;51;41;4
MI;Michigan;Civiqs;10/8/2020;10/11/2020;543;52;43;
MI;Michigan;RMG Research;10/8/2020;10/13/2020;800;48;42;3
MI;Michigan;EPIC-MRA;10/8/2020;10/12/2020;600;48;39;
MI;Michigan;Ipsos;10/7/2020;10/13/2020;620;51;44;4
MI;Michigan;Morning Consult;10/2/2020;10/11/2020;1710;51;44;
MI;Michigan;NYT/Siena College;10/6/2020;10/11/2020;614;48;40;2
MI;Michigan;YouGov;10/6/2020;10/9/2020;1190;52;46;
MI;Michigan;Baldwin Wallace University;9/30/2020;10/8/2020;1134;50;43;2
MI;Michigan;Redfield & Wilton Strategies;10/4/2020;10/6/2020;700;50;42;
MI;Michigan;Ipsos;9/29/2020;10/6/2020;709;51;43;
MI;Michigan;Change Research;10/2/2020;10/4/2020;586;51;43;
MI;Michigan;Redfield & Wilton Strategies;9/23/2020;9/25/2020;785;51;42;1
MI;Michigan;Public Policy Polling;9/30/2020;10/1/2020;746;50;44;3
MI;Michigan;Marist College;9/19/2020;9/23/2020;799;52;44;
MI;Michigan;Hart Research Associates;9/17/2020;9/19/2020;400;50;45;
MI;Michigan;Data for Progress;9/14/2020;9/19/2020;455;50;44;
MI;Michigan;YouGov;9/10/2020;9/21/2020;641;51;45;
MI;Michigan;Baldwin Wallace University;9/8/2020;9/22/2020;1001;50;42;1
MI;Michigan;Change Research;9/18/2020;9/20/2020;568;51;43;
MI;Michigan;Ipsos;9/11/2020;9/16/2020;637;49;44;
MI;Michigan;Market Research Group;9/14/2020;9/19/2020;600;46;41;
MI;Michigan;Redfield & Wilton Strategies;9/12/2020;9/16/2020;930;49;39;3
MI;Michigan;Civiqs;9/11/2020;9/15/2020;517;53;42;
MI;Michigan;EPIC-MRA;9/10/2020;9/15/2020;600;48;40;
MI;Michigan;Benenson Strategy Group/GS Strategy Group;8/28/2020;9/8/2020;1600;50;43;
MI;Michigan;Morning Consult;8/29/2020;9/7/2020;1455;52;42;
MI;Michigan;Change Research;9/4/2020;9/6/2020;876;49;43;
MI;Michigan;Glengariff Group;9/1/2020;9/3/2020;600;47;42;
MI;Michigan;Redfield & Wilton Strategies;8/21/2020;9/3/2020;967;51;40;1
MI;Michigan;Hodas & Associates;8/11/2020;8/15/2020;600;52;41;
MI;Michigan;Public Policy Polling;8/28/2020;8/29/2020;897;48;44;4
MI;Michigan;Morning Consult;8/21/2020;8/30/2020;700;52;42;
MI;Michigan;Morning Consult;8/7/2020;8/16/2020;700;50;44;
MI;Michigan;Change Research;8/21/2020;8/23/2020;809;50;44;
MI;Michigan;Redfield & Wilton Strategies;8/16/2020;8/18/2020;812;50;38;
MI;Michigan;Civiqs;8/13/2020;8/17/2020;631;49;46;3
MI;Michigan;Change Research;8/7/2020;8/9/2020;413;48;43;
MI;Michigan;YouGov;7/27/2020;8/6/2020;761;47;43;
MI;Michigan;EPIC-MRA;7/25/2020;7/30/2020;600;51;40;
MI;Michigan;David Binder Research;7/30/2020;7/31/2020;200;51;41;
MI;Michigan;Hodas & Associates;7/13/2020;7/16/2020;600;53;41;
MI;Michigan;Public Policy Polling;7/28/2020;7/29/2020;876;49;43;
MI;Michigan;Redfield & Wilton Strategies;7/19/2020;7/24/2020;811;49;37;2
MI;Michigan;Change Research;7/24/2020;7/26/2020;413;46;42;
MI;Michigan;Morning Consult;7/17/2020;7/26/2020;1320;52;42;
MI;Michigan;YouGov;7/21/2020;7/24/2020;1156;48;42;
MI;Michigan;SSRS;7/18/2020;7/24/2020;927;52;40;
MI;Michigan;Gravis Marketing;7/22/2020;7/22/2020;754;51;42;
MI;Michigan;Fox News/Beacon Research/Shaw & Co. Research;7/17/2020;7/20/2020;756;49;40;
MI;Michigan;Public Policy Polling;7/9/2020;7/10/2020;1041;51;44;
MI;Michigan;Change Research;7/10/2020;7/12/2020;824;48;42;
MI;Michigan;Public Policy Polling;6/26/2020;6/27/2020;1237;50;44;
MI;Michigan;Change Research;6/26/2020;6/28/2020;400;48;43;
MI;Michigan;Redfield & Wilton Strategies;6/14/2020;6/16/2020;719;47;36;
MI;Michigan;Hodas & Associates;6/17/2020;6/20/2020;600;56;38;
MI;Michigan;NYT/Siena College;6/8/2020;6/17/2020;610;47;36;
MI;Michigan;Change Research;6/12/2020;6/14/2020;400;47;45;
MI;Michigan;TIPP;6/9/2020;6/12/2020;907;50;37;
MI;Michigan;TIPP;6/9/2020;6/12/2020;859;51;38;
MI;Michigan;EPIC-MRA;5/31/2020;6/4/2020;600;55;39;
MI;Michigan;Kiaer Research;5/31/2020;6/7/2020;543;50;35;
MI;Michigan;EPIC-MRA;5/30/2020;6/3/2020;600;53;41;
MI;Michigan;Change Research;5/29/2020;5/31/2020;620;48;46;
MI;Michigan;Public Policy Polling;5/29/2020;5/30/2020;1582;50;44;
MI;Michigan;Public Policy Polling;5/18/2020;5/19/2020;1234;51;45;
MI;Michigan;Change Research;5/16/2020;5/19/2020;3070;47;44;4
MI;Michigan;Redfield & Wilton Strategies;5/10/2020;5/14/2020;970;47;39;
MI;Michigan;Hodas & Associates;5/1/2020;5/5/2020;600;50;42;
MI;Michigan;Public Policy Polling;4/28/2020;4/29/2020;1270;50;42;
MI;Michigan;Hodas & Associates;4/9/2020;4/11/2020;600;49;43;
MI;Michigan;Public Policy Polling;4/20/2020;4/21/2020;1277;51;44;
MI;Michigan;Ipsos;4/15/2020;4/20/2020;612;46;38;
MI;Michigan;Fox News/Beacon Research/Shaw & Co. Research;4/18/2020;4/21/2020;801;49;41;3
MI;Michigan;Garin-Hart-Yang Research Group;4/6/2020;4/8/2020;303;50;41;
MI;Michigan;Public Policy Polling;3/31/2020;4/1/2020;1019;48;45;
MI;Michigan;Hodas & Associates;3/12/2020;3/16/2020;600;50;44;
MI;Michigan;Baldwin Wallace University;3/17/2020;3/25/2020;997;47;42;
MI;Michigan;Marketing Resource Group (MRG);3/16/2020;3/20/2020;600;44;41;
MI;Michigan;AtlasIntel;3/7/2020;3/9/2020;1100;44;46;
MI;Michigan;YouGov;3/6/2020;3/8/2020;566;45;41;
MI;Michigan;Monmouth University;3/5/2020;3/8/2020;977;48;41;
MI;Michigan;Optimus;3/5/2020;3/7/2020;550;44;46;
MI;Michigan;Expedition Strategies;2/6/2020;2/18/2020;500;43;43;
MI;Michigan;YouGov;2/11/2020;2/20/2020;1249;47;43;
MI;Michigan;Quinnipiac University;2/12/2020;2/18/2020;845;47;43;
MN;Minnesota;Data for Progress;10/21/2020;11/1/2020;1259;51;43;6
MN;Minnesota;Research Co.;10/31/2020;11/1/2020;450;52;43;
MN;Minnesota;Morning Consult;10/22/2020;10/31/2020;883;52;42;
MN;Minnesota;Targoz Market Research;10/25/2020;10/30/2020;1138;53;44;
MN;Minnesota;St. Cloud State University;10/10/2020;10/29/2020;372;54;39;
MN;Minnesota;Public Policy Polling;10/29/2020;10/30/2020;770;54;43;
MN;Minnesota;SurveyUSA;10/23/2020;10/27/2020;649;47;42;
MN;Minnesota;Gravis Marketing;10/24/2020;10/26/2020;657;53;39;
MN;Minnesota;SurveyUSA;10/16/2020;10/20/2020;625;48;42;
MN;Minnesota;Morning Consult;10/11/2020;10/20/2020;864;51;42;
MN;Minnesota;Civiqs;10/17/2020;10/20/2020;840;53;43;
MN;Minnesota;Change Research;10/12/2020;10/15/2020;1021;49;44;
MN;Minnesota;David Binder Research;10/10/2020;10/13/2020;220;52;41;
MN;Minnesota;Morning Consult;10/2/2020;10/11/2020;898;50;44;
MN;Minnesota;SurveyUSA;10/1/2020;10/6/2020;929;47;40;
MN;Minnesota;Mason-Dixon Polling & Strategy;9/21/2020;9/23/2020;800;48;42;
MN;Minnesota;Suffolk University;9/20/2020;9/24/2020;500;47;40;4
MN;Minnesota;Redfield & Wilton Strategies;9/12/2020;9/17/2020;718;51;42;
MN;Minnesota;ABC News/Washington Post;9/8/2020;9/13/2020;705;57;41;
MN;Minnesota;Morning Consult;9/4/2020;9/13/2020;643;48;44;
MN;Minnesota;YouGov;9/9/2020;9/11/2020;1087;50;41;
MN;Minnesota;NYT/Siena College;9/8/2020;9/10/2020;814;50;41;3
MN;Minnesota;SurveyUSA;9/4/2020;9/7/2020;553;49;40;
MN;Minnesota;Morning Consult;8/29/2020;9/7/2020;649;49;44;
MN;Minnesota;Public Policy Polling;9/3/2020;9/4/2020;877;52;44;
MN;Minnesota;Harper Polling;8/30/2020;9/1/2020;501;48;45;
MN;Minnesota;Morning Consult;8/21/2020;8/30/2020;700;50;43;
MN;Minnesota;Morning Consult;8/7/2020;8/16/2020;700;50;42;
MN;Minnesota;David Binder Research;7/30/2020;7/31/2020;200;54;36;
MN;Minnesota;Public Policy Polling;7/22/2020;7/23/2020;1218;52;42;
MN;Minnesota;Morning Consult;7/17/2020;7/26/2020;662;47;44;
MN;Minnesota;Fox News/Beacon Research/Shaw & Co. Research;7/17/2020;7/20/2020;776;51;38;
MN;Minnesota;Gravis Marketing;6/19/2020;6/19/2020;600;58;42;
MN;Minnesota;Mason-Dixon Polling & Strategy;5/18/2020;5/20/2020;800;49;44;
MO;Missouri;Morning Consult;10/22/2020;10/31/2020;1109;43;52;
MO;Missouri;Remington Research Group;10/28/2020;10/29/2020;1010;45;50;3
MO;Missouri;Remington Research Group;10/14/2020;10/15/2020;1010;45;51;
MO;Missouri;YouGov;9/24/2020;10/7/2020;931;43;52;
MO;Missouri;Garin-Hart-Yang Research Group;9/28/2020;10/2/2020;600;48;50;
MO;Missouri;Remington Research Group;9/30/2020;10/1/2020;980;46;51;
MO;Missouri;Remington Research Group;9/16/2020;9/17/2020;1056;45;53;
MO;Missouri;We Ask America;9/1/2020;9/3/2020;500;44;49;
MO;Missouri;YouGov;6/23/2020;7/1/2020;900;43;50;4
MO;Missouri;Garin-Hart-Yang Research Group;6/16/2020;6/22/2020;800;48;46;
MO;Missouri;Remington Research Group;6/10/2020;6/11/2020;1152;43;51;
MO;Missouri;We Ask America;5/26/2020;5/27/2020;500;44;48;
MO;Missouri;Remington Research Group;2/26/2020;2/27/2020;1050;42;52;
MS;Mississippi;Data for Progress;10/21/2020;11/1/2020;562;41;55;3
MS;Mississippi;Civiqs;10/23/2020;10/26/2020;507;41;55;
MS;Mississippi;The Tyson Group;8/28/2020;8/30/2020;600;40;50;
MS;Mississippi;Garin-Hart-Yang Research Group;7/30/2020;8/9/2020;600;43;53;
MS;Mississippi;Millsaps College;6/2/2020;6/4/2020;568;41;50;6
MS;Mississippi;Chism Strategies;4/6/2020;4/9/2020;508;38;49;7
MS;Mississippi;Mason-Dixon Polling & Research Inc.;2/26/2020;2/28/2020;625;41;56;
MT;Montana;Change Research;10/29/2020;11/2/2020;920;45;50;2
MT;Montana;Montana State University Billings;10/19/2020;10/24/2020;546;45;52;1
MT;Montana;Public Policy Polling;10/26/2020;10/27/2020;886;47;49;
MT;Montana;RMG Research;10/15/2020;10/18/2020;500;46;50;2
MT;Montana;NYT/Siena College;10/18/2020;10/20/2020;758;43;49;3
MT;Montana;Strategies 360;10/15/2020;10/20/2020;500;43;51;
MT;Montana;Montana State University Bozeman;9/14/2020;10/2/2020;1615;44;51;
MT;Montana;Public Policy Polling;10/9/2020;10/1/2020;798;48;52;
MT;Montana;Data for Progress;9/30/2020;10/5/2020;737;43;49;3
MT;Montana;NYT/Siena College;9/14/2020;9/16/2020;625;42;49;3
MT;Montana;Fabrizio Ward/Hart Research Associates;8/30/2020;9/5/2020;1637;43;50;
